36	⽂字⽂字⽂字⽂字⽂字⽂字⽂字⽂字⽂字⽂字⽂字⽂字⽂字⽂字⽂字 查看详情
36	⽂字⽂字⽂字⽂字⽂字⽂字⽂字⽂字⽂字⽂字⽂字⽂字⽂字⽂字⽂字
37	提⽰弹窗
37	普通弹窗
37	基本样式
37	⽂本⽂本⽂本⽂本⽂本⽂本⽂本⽂本⽂本⽂本⽂本⽂本 是否退出业务账号
37	退出后，下次申购备案需要重新登录投⾏业务账号。
37	取消 确定
37	取消 确定
37	字号16px，中⿊体，字重500，颜⾊#000
38	Pop- up弹窗
38	间距及规范样式
39	C hart图表
39	折线图
39	模拟组合 ESG评级历史
39	组合 中信⼀级⾏业指数- 电⼦
39	ESG评级历史
39	AAA
40	图表规范
40	组件使⽤说明
40	主要应⽤折线图，柱形图，折线柱形图结合的形式。
40	(cid:0)
40	条⾊块颜⾊#0D59C4（5%透明度）
41	组合 中信⼀级⾏业指数- 电⼦
41	组合：- 8.48%
42	M aster（不是组件，不可使⽤）
42	表格
43	Form表格
43	表格
43	单元格内容
43	左对⻬ 右对⻬ 居中
43	表头 表头 表头
43	表头 表头
43	左对⻬⽂字 右对⻬⽂字 居中⽂字
43	左对⻬⽂字 右对⻬⽂字 居中⽂字
44	Form表格
44	组件使⽤说明
44	(cid:0)
44	(cid:0)⾃适应布局说明：
44	(cid:0)· 若⽂字过多则⾃动转⾏，整⾏的⾼度以最⾼的为准；
44	(cid:0)· 单元格可⾃⾏拉伸宽度。
45	Selection box选择框
45	选择框
45	单选框
45	⽂字⽂字⽂字⽂字 ⽂字⽂字⽂字⽂字 ⽂字⽂字⽂字⽂字
45	多选框
46	选择框规范
46	组件使⽤说明
46	(cid:0)
46	(cid:0)· 复选框⽤于在⼀组可选项中进⾏多项选择时。
46	(cid:0)(cid:0)单个复选框可以表⽰多种状态之间的切换。
46	(cid:0)
47	C ard- 卡⽚
47	⾸⻚
47	综合服务卡⽚ 活动卡⽚
47	最新活动 最新活动
47	华泰机械调研邀请 怎么看当前全球「海⼯」产业链和「
47	迪威尔」
47	研究 企业IR
48	卡⽚规范
48	组件使⽤场景
48	(cid:0)· 基础卡⽚可包含标题、内容及操作区。(cid:0)
48	(cid:0)· 简单卡⽚可以只有内容区域。(cid:0)
48	(cid:0)· 卡⽚可以带图⽚，可配置定义更丰富内容展⽰。(cid:0)
48	(cid:0)· 卡⽚内容多时可使⽤带「选项卡」的卡⽚。
48	类型与间距
49	Footing- ⻚尾
49	⻚尾（1130- 加服务⽀持）
49	关于我们 关于⾏知 服务⽀持
49	公众号
49	地址：江苏省南京市江东中路228号
50	⻚尾规范
50	间距及规范
50	关于我们 关于⾏知 服务⽀持
51	缺省⻚
51	状态插画
51	暂⽆搜索结果 暂⽆关注 暂⽆数据 暂⽆⽹络 暂⽆收藏
51	您已是⾏知认证⽤⼾ 流程进⾏中 暂⽆权限 暂⽆消息 即将上线，敬请期待
52	缺省⻚规范
52	间距及规范
52	暂⽆搜索结果
52	· 根据提供参考插画，总结归纳出亮、灰、暗部的颜⾊，并将其组成渐变⾊
53	M aster（不是组件，不可使⽤）
53	分⻚器
54	Pagination分⻚
54	分⻚⻚码
54	少量⻚⾯ 少量⻚⾯+每⻚数量设置 ⼤量⻚⾯ ⼤量⻚⾯+每⻚数量设置
55	分⻚规范
55	组件使⽤说明
55	(cid:0)
55	(cid:0)· 可根据需求决定选择不同的分⻚状态。
55	类型与间距
55	规范
